State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Computer,Working_Processional,%of_male_worker,%of_female_worker,LPG_holders_%age,Electricity_Percentage,computer_percentage,Internet_percentage,Rural_Households,Urban_Households,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,5512,194954,566108,45202,48.29,54.68,41.9,7.11,20.65,1.65,0.2,597466,220248,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,8606,223016,897970,48299,49.89,58.54,41.04,5.46,22.0,1.18,0.21,902997,341431,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,13763,324406,944555,67087,46.32,57.52,35.09,7.77,22.63,1.61,0.33,907970,395900,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,22411,479914,1297273,93784,40.62,60.16,21.2,9.31,25.17,1.82,0.43,1199479,406362,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,19383,648568,1186028,80434,48.73,59.1,38.38,13.27,24.27,1.65,0.4,1069877,513113,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,149034,581509,869721,274653,35.84,51.8,19.1,14.75,22.06,6.97,3.78,0,1066289,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,8831,344667,926768,46584,49.7,55.8,43.65,9.13,24.54,1.23,0.23,877236,288044,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,8628,219710,668519,42171,50.41,57.72,43.17,7.85,23.9,1.51,0.31,669262,201363,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,30438,632890,1163932,101450,45.36,58.54,32.07,14.01,25.77,2.25,0.67,909292,567042,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,10081,195001,816721,56478,50.07,57.09,42.96,4.81,20.15,1.39,0.25,783853,306982,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,6153,136843,757821,60812,51.38,55.6,47.06,3.38,18.7,1.5,0.15,848963,161052,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,8635,163074,604719,47170,47.55,55.01,40.01,5.38,19.94,1.56,0.28,593653,195479,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,7715,228818,789225,53777,49.92,55.49,44.26,6.56,22.62,1.54,0.22,833504,197433,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,5261,186740,545913,35036,49.43,54.72,44.34,7.32,21.4,1.37,0.21,565165,155133,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,6151,290947,763746,43611,50.05,57.84,42.12,8.56,22.48,1.28,0.18,873486,214089,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,3988,149554,615432,32280,47.73,57.13,38.48,5.53,22.77,1.19,0.15,752752,149684,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,4453,140361,527736,24128,49.39,58.48,40.46,5.99,22.51,1.03,0.19,592458,157056,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,12952,237349,828077,59006,48.56,54.62,42.48,6.76,23.57,1.68,0.37,758738,288249,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,12050,435334,1017568,55613,45.04,61.04,29.1,11.06,25.85,1.41,0.31,1007255,248373,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,170,4762,14593,1486,42.48,51.11,33.16,3.21,9.85,1.0,0.11,33422,6498,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,57,3583,5318,885,40.3,42.36,38.3,4.55,6.76,1.12,0.07,14503,5215,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,450,4866,14231,1582,40.54,47.07,33.87,4.9,14.34,1.59,0.45,19497,9524,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,95,586,3911,969,41.32,40.67,41.95,0.64,4.25,1.05,0.1,18603,1092,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,312,6549,17157,1471,41.82,51.05,31.7,4.49,11.77,1.01,0.21,33599,11372,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,207,3068,5932,742,41.28,50.27,31.6,5.67,10.97,1.37,0.38,12000,3950,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,381,4211,12493,1598,36.37,41.44,31.23,5.07,15.05,1.92,0.46,18112,5365,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,2477,22966,30539,7418,37.25,46.27,28.05,13.01,17.3,4.2,1.4,20308,30180,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,96,3794,8635,494,57.15,67.08,43.25,7.59,17.28,0.99,0.19,10730,2452,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,98,3104,16026,888,44.8,47.82,41.61,2.77,14.31,0.79,0.09,18420,6500,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,97,1504,6198,392,49.95,53.31,46.18,4.26,17.55,1.11,0.27,8569,2182,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,139,3123,5373,750,39.99,42.86,37.11,3.74,6.44,0.9,0.17,14542,4672,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,202,7133,14188,887,50.62,61.34,37.52,8.5,16.9,1.06,0.24,17889,6306,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,303,6115,14204,1300,43.8,50.12,37.0,5.45,12.65,1.16,0.27,22272,8503,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,2078,50806,84804,25286,33.17,51.36,14.1,3.0,5.01,1.49,0.12,447189,52192,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,2523,29937,49866,12959,34.62,52.56,16.05,4.05,6.75,1.75,0.34,181923,38470,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,5316,62135,140205,37541,35.01,53.0,16.27,3.58,8.07,2.16,0.31,346227,88933,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,1166,17676,45444,12084,34.99,51.94,17.21,1.9,4.89,1.3,0.13,268517,20189,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,1192,16547,28195,10410,46.17,53.12,38.89,2.41,4.11,1.52,0.17,211758,16504,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,8817,76292,136685,34479,42.26,54.4,29.63,5.75,10.31,2.6,0.66,299852,77163,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,1364,21455,78641,13524,35.96,52.04,19.29,2.13,7.8,1.34,0.14,228610,39504,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,3073,40889,82345,17636,44.98,56.91,32.62,3.83,7.72,1.65,0.29,292893,34190,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,1211,11035,44143,10615,32.5,50.55,13.52,1.67,6.7,1.61,0.18,159215,16202,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,5651,71639,122063,26357,45.65,57.6,33.22,6.56,11.18,2.41,0.52,286330,80824,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,3109,70272,122191,23468,41.45,55.04,27.12,4.63,8.05,1.55,0.2,390596,43849,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,1923,18763,53918,11340,40.1,50.23,29.44,1.96,5.64,1.19,0.2,215691,37185,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,1933,28261,70951,24699,32.49,51.1,13.17,2.3,5.77,2.01,0.16,261945,32695,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,1218,15089,41373,14063,38.45,52.18,24.14,1.7,4.66,1.59,0.14,204896,17115,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,1948,32104,60296,15011,41.26,53.29,28.83,3.08,5.79,1.44,0.19,293239,34694,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,5121,89206,195631,45956,34.71,53.28,15.4,3.16,6.93,1.63,0.18,674999,124186,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,1631,37849,68313,12360,34.68,53.08,15.29,4.91,8.85,1.6,0.21,210706,28238,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,4358,70047,133368,31254,40.05,54.6,24.83,3.64,6.93,1.62,0.23,483325,64528,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,5135,70471,161718,27948,41.96,53.9,29.42,5.31,12.18,2.1,0.39,290704,90910,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,2561,17004,43290,29796,38.05,48.41,26.81,0.6,1.54,1.06,0.09,659061,44213,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,2362,24106,44456,31168,32.98,45.44,19.54,0.95,1.75,1.23,0.09,428291,49006,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,23258,246324,589477,69937,42.55,52.79,31.47,6.66,15.93,1.89,0.63,551789,427343,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,2362,24106,44456,31168,32.98,45.44,19.54,0.95,1.75,1.23,0.09,428291,49006,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,23258,246324,589477,69937,42.55,52.79,31.47,6.66,15.93,1.89,0.63,551789,427343,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,1704,15459,62359,22300,37.9,48.52,26.17,0.76,3.06,1.1,0.08,425604,18492,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,4644,49493,120373,43127,31.58,45.63,15.88,1.67,4.05,1.45,0.16,594377,139248,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,6764,63241,174534,46929,32.38,45.81,17.12,2.08,5.75,1.54,0.22,522527,130634,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,3661,45763,62153,34658,30.15,44.76,14.04,1.68,2.28,1.27,0.13,434559,77368,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,1784,27362,46760,19324,31.55,45.29,16.64,1.6,2.74,1.13,0.1,299252,35405,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,6280,59510,127442,53205,31.08,46.02,14.69,1.51,3.24,1.35,0.16,907174,95539,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,6856,57738,112617,57011,37.89,47.48,27.67,1.31,2.56,1.3,0.16,696289,111282,52.0
